original,code_mixed,sentiment,mix_ratio,base_lang,mix_profile
Really happy with my purchase. Exactly as described!,"Oh of course, really happy with my purchase. exactly as described",sarcastic,0.5,bengali,injected_sarcasm
"I absolutely love this new product, it is amazing quality!",I absolutely love this new order it is amazing grade,positive,0.5,hindi,medium
Worst delivery experience. Package lost and nobody is helping.,"prashnam undu, prashnam undu, baje quality, worst delivery encounter package lost and nobody is helping.",negative,0.8,malayalam,high
Order arrived. Product is as described. Average quality overall.,Order arrived. Product is as described. Average quality overall.,neutral,0.2,tamil,low
Complete fraud. Product is nothing like the advertisement shows.,Complete fraud. Product is nothing like the advertisement shows.,negative,0.2,malayalam,low
Extremely overpriced for such pathetic quality. Do not buy.,Extremely overpriced for such pathetic build Do not buy.,negative,0.2,bengali,low
Complete fraud. Product is nothing like the advertisement shows.,Complete fraud. Product is nothing like the advertisement shows.,negative,0.5,malayalam,medium
"Just tried their new product and it is fantastic, love it!","Just enthayalum nalla their new product and it is fantastic, love it!",positive,0.8,hindi,high
Rude staff and completely unhelpful customer service. Disgusting.,Rude staff and completely unhelpful customer service. Disgusting.,negative,0.5,bengali,medium
Outstanding customer support. They resolved my issue instantly.,"sundor packaging, enthayalum nalla, super aayirunnu, outstanding customer support. they resolved my issue instantly.",positive,0.8,hindi,high
Worst delivery experience. Package lost and nobody is helping.,"ketta service, bahut bura experience, worst delivery experience. package lost and nobody is helping.",negative,0.5,malayalam,medium
Love how they charge premium prices for such wonderful quality!,Love how they charge premium prices for such wonderful quality!,sarcastic,0.5,tamil,medium
The quality is premium and totally worth the price.,"ipdi irukanum, mast hai, enthayalum nalla, the caliber is premium and totally worth the price.",positive,0.8,malayalam,high
Normal experience. Customer service was okay. Will see how it goes.,Normal encounter Customer service was okay. Will okay aanu how it goes.,neutral,0.8,bengali,high
"Just tried their new product and it is fantastic, love it!","Love it!, just tried their nalla irundhuchu new package and it is fantastic",positive,0.8,hindi,high
"Wow, what a brilliant idea to increase the price by 50 percent!","What a brilliant idea to increase the price by 50 percent!, wow",sarcastic,0.2,bengali,low
Rude staff and completely unhelpful customer service. Disgusting.,Rude staff and completely unhelpful customer service. Disgusting.,negative,0.5,tamil,medium
Product looks decent. Nothing extraordinary but does the job.,Product looks decent. Nothing extraordinary but does the job.,neutral,0.2,bengali,low
Mind blowing that they call this five star service honestly.,Mind blowing that they call this five star service honestly.,sarcastic,0.2,tamil,low
Outstanding customer support. They resolved my issue instantly.,"Fantastic, outstanding customer support. they resolved my issue instantly",sarcastic,0.5,bengali,injected_sarcasm
"Average experience. Some things good, some things could be better.","Some things could be better., average experience. some things good kuch khas nahi, sari aanu, thik thak hai",neutral,0.8,malayalam,high
"Oh really, so helpful of them to respond after one whole week!","Oh really, so helpful of them to respond after one whole week!",sarcastic,0.5,hindi,medium
Really happy with my purchase. Exactly as described!,"super ah iruku, ente mone super, wah wah amazing, really happy with my purchase. exactly as described!",positive,0.8,malayalam,high
The quality is premium and totally worth the price.,The caliber is premium valare nalla aanu and totally worth the price.,positive,0.2,tamil,low
"Super quick delivery, great quality. Will definitely order again.","Super quick delivery, wonderful quality. Will definitely order again.",positive,0.8,malayalam,high
Nice one! Delivered the wrong product and now ignoring my calls.,Nice one! Delivered the wrong product and now ignoring my calls.,sarcastic,0.8,tamil,high
Product exceeded my expectations. Absolutely perfect!,Product exceeded my expectations. Absolutely perfect!,positive,0.5,tamil,medium
Rude staff and completely unhelpful customer service. Disgusting.,"Rude staff and completely unhelpful customer service. Disgusting. emon service hole cholena, amader theke ekhane, baje quality",negative,0.8,bengali,high
Missing items in my order and no response from support. Horrible.,Missing items in my order and no response from avarude seva moshamaanu Horrible.,negative,0.2,bengali,low
How wonderful that their helpline goes straight to voicemail always!,How nallatalla that their helpline goes straight to voicemail always!,sarcastic,0.5,bengali,medium
Order arrived. Product is as described. Average quality overall.,Order arrived. Item is as described. okay aanu grade overall.,neutral,0.5,tamil,medium
"Oh wow, amazing that my order arrived one month late. Great job!","Amazing that my order arrived one month avarude seva moshamaanu great job!, oh wow",sarcastic,0.8,malayalam,high
Total scam! Paid for express delivery but it arrived late.,Total scam! Paid for avarude seva moshamaanu delivery but it arrived late.,negative,0.5,hindi,medium
Product looks decent. Nothing extraordinary but does the job.,Product looks decent. Nothing extraordinary but does the job.,neutral,0.2,hindi,low
"Oh wow, amazing that my order arrived one month late. Great job!","bekar service, dhoka diya, ganda quality, oh wow, amazing that my order arrived one month late. wonderful job!",sarcastic,0.8,bengali,high
Product is defective right out of the box. Very disappointing.,Item is defective right out of the box. Very disappointing.,negative,0.2,tamil,low
Delivery was fast and packaging was perfect. Thank you!,Courier was fast and super aayirunnu packaging was perfect. Thank you!,positive,0.8,bengali,high
"Thank you team, you made my day! Best purchase ever.","Thank you team, you made my day! Best purchase ever.",positive,0.2,hindi,low
The app is functional. Basic features work. Nothing impressive.,The app is functional. Basic features work. Nothing impressive.,neutral,0.5,tamil,medium
"Never buying again, total waste of money. Worst experience.","Never buying again, total waste of money. Worst experience.",negative,0.5,malayalam,medium
Excellent value for money. Premium quality at affordable price.,Excellent value for money. bahut accha hai Premium quality at affordable price.,positive,0.8,tamil,high
"Oh wow, amazing that my order arrived one month late. Great job!","Oh wow, amazing that my order arrived one month late. Great job!",sarcastic,0.2,bengali,low
Missing items in my order and no response from support. Horrible.,Missing items in my order and no response from support. Horrible.,negative,0.5,bengali,medium
"I absolutely love this new product, it is amazing quality!","I absolutely cherish this new khub satisfied product, it is amazing quality!",positive,0.8,malayalam,high
"Thank you team, you made my day! Best purchase ever.","You made my day! best purchase ever., thank you team",positive,0.5,bengali,medium
Love how they charge premium prices for such wonderful quality!,Enjoy how they charge premium prices for such wonderful quality!,sarcastic,0.2,tamil,low
"I absolutely love this new product, it is amazing quality!","Love how i absolutely love this paavam new product, it is amazing quality",sarcastic,0.5,hindi,injected_sarcasm
"I absolutely love this new product, it is amazing quality!","bahut accha hai, i absolutely love this new product, it is phenomenal grade",positive,0.2,tamil,low
Really happy with my purchase. Exactly as described!,Really happy with my purchase. Exactly as described!,positive,0.5,tamil,medium
"Yeah sure, best customer support ever. Only waited three hours!","Yeah sure, best customer bahut bura experience ever. Only waited three hours!",sarcastic,0.5,malayalam,medium
The food was absolutely delicious and the service was very fast.,The food was absolutely delicious zabardast quality and the service was very speedy,positive,0.8,malayalam,high
"Food was cold, stale, and portion sizes are absolutely tiny.","Food was cold, stale, and portion sizes are absolutely tiny. khub dukkhojonok",negative,0.2,tamil,low
Order arrived. Product is as described. Average quality overall.,Order arrived. Purchase is as described. Average quality overall.,neutral,0.2,bengali,low
"Terrible quality, broke within two days. Completely disappointed.","Terrible grade broke within two days. Completely disappointed. khub kharap, bahut kharab, avarude seva moshamaanu",negative,0.8,tamil,high
"Super quick delivery, great quality. Will definitely order again.","Super quick delivery, great nahi chalega Will definitely order again oh sure.",sarcastic,0.5,hindi,injected_sarcasm
"As if the price hike was not enough, now they reduced quality too!","As if the price hike was not enough, now they reduced quality too!",sarcastic,0.2,hindi,low
"Oh wow, amazing that my order arrived one month late. Great job!","Amazing that my order arrived one month late. great job!, oh wow",sarcastic,0.2,bengali,low
"Thank you team, you made my day! Best purchase ever.","Thank you team, you made super ah iruku day! Best purchase ever.",positive,0.8,hindi,high
Outstanding customer support. They resolved my issue instantly.,Outstanding customer support. They resolved my adipoli aayirunnu instantly.,positive,0.5,tamil,medium
The app works flawlessly. Beautiful design and very intuitive.,"nalla irundhuchu, nalla irundhuchu, the app works flawlessly. beautiful design and very intuitive.",positive,0.5,malayalam,medium
Really happy with my purchase. Exactly as described!,Really happy with my purchase. Exactly as described!,positive,0.5,hindi,medium
Normal experience. Customer service was okay. Will see how it goes.,"okay aanu, thik thak hai, idhu epadi iruku theriyala, normal experience. customer help was okay. will see how it goes.",neutral,0.8,malayalam,high
Order arrived. Product is as described. Average quality overall.,Order arrived. Item is as described. Average quality overall.,neutral,0.5,malayalam,medium
Delivery was fast and packaging was perfect. Thank you!,"bahut accha hai, onek valo, courier was swift and packaging was perfect. thank you!",positive,0.5,malayalam,medium
Best customer experience I have had in years! Amazing team.,Best customer interaction I have had in years! Extraordinary team.,positive,0.2,hindi,low
So great that their premium product broke on the very first use!,So great that their premium item broke on the very first use!,sarcastic,0.2,hindi,low
Complete fraud. Product is nothing like the advertisement shows.,"Complete fraud. Product is nothing like the advertisement shows. bayangara problem, cheriya quality",negative,0.5,hindi,medium
Product is defective right out of the box. Very disappointing.,Product is defective right out of the box. Very disappointing.,negative,0.2,bengali,low
It is fine for the price. Not the best but acceptable quality.,It is fine for the price. Not the best but acceptable grade,neutral,0.8,bengali,high
Worst delivery experience. Package lost and nobody is helping.,Worst logistics experience. Package lost prashnam undu nobody is helping.,negative,0.5,tamil,medium
Quality is okay but the price is a bit high for what you get.,"ektu valo ektu kharap, ithu epadi aanu theriyilla, normal ah iruku, standard is okay but the price is a bit high for what you get.",neutral,0.8,tamil,high
"Yeah sure, best customer support ever. Only waited three hours!","Yeah sure, best customer support ever. Only waited three hours!",sarcastic,0.5,bengali,medium
Excellent value for money. Premium quality at affordable price.,Excellent value for money. Premium quality at affordable price as if that is acceptable.,sarcastic,0.5,tamil,injected_sarcasm
How wonderful that their helpline goes straight to voicemail always!,How wonderful that their helpline goes straight to voicemail always!,sarcastic,0.2,hindi,low
So great that their premium product broke on the very first use!,So great that their premium product illa da seri broke on the very first use!,sarcastic,0.2,malayalam,low
Total scam! Paid for express delivery but it arrived late.,Total scam! Paid for express delivery but it arrived late.,negative,0.5,malayalam,medium
Incredible service! Cancelled my order without any notice whatsoever.,Incredible service! Cancelled my ganda quality without any notice whatsoever.,sarcastic,0.5,bengali,medium
It is fine for the price. Not the best but acceptable quality.,It is fine for the price. Not the best but acceptable quality.,neutral,0.2,hindi,low
"Food was cold, stale, and portion sizes are absolutely tiny.","Stale, and portion sizes are absolutely tiny., food was cold",negative,0.2,malayalam,low
Incredible service! Cancelled my order without any notice whatsoever.,Incredible help Cancelled my bayangara problem order without any notice whatsoever.,sarcastic,0.5,bengali,medium
Product exceeded my expectations. Absolutely perfect!,Product exceeded my bhalo laglo expectations. Absolutely perfect!,positive,0.8,malayalam,high
Complete fraud. Product is nothing like the advertisement shows.,Complete fraud. Product is romba mosam nothing like the advertisement shows.,negative,0.8,tamil,high
"Yeah sure, best customer support ever. Only waited three hours!","nahi chalega, dhoka diya, mosham aanu, yeah sure, best customer support ever. only waited three hours!",sarcastic,0.8,malayalam,high
"Oh really, so helpful of them to respond after one whole week!","nallatalla, bayangara problem, theriyama panrom, oh really, so helpful of them to respond after one whole week!",sarcastic,0.8,bengali,high
"Average experience. Some things good, some things could be better.","Some things could be better., mota muti bhalo average visit some things good",neutral,0.8,hindi,high
"Yeah sure, best customer support ever. Only waited three hours!","Best customer support ever. only waited three hours!, yeah sure",sarcastic,0.2,malayalam,low
"Oh really, so helpful of them to respond after one whole week!","Oh really, so helpful of them to respond after one whole week!",sarcastic,0.2,hindi,low
Totally worth waiting two months for this absolutely brilliant product.,Totally worth prashnam undu two months for this absolutely brilliant order,sarcastic,0.8,malayalam,high
"Wow, what a brilliant idea to increase the price by 50 percent!","What a brilliant idea to increase the price by 50 percent!, wow",sarcastic,0.5,bengali,medium
Received on time and condition was perfect. Highly recommend!,Received on time and condition was perfect. Highly recommend!,positive,0.2,malayalam,low
How wonderful that their helpline goes straight to voicemail always!,How wonderful that their helpline nahi chalega goes straight to voicemail always!,sarcastic,0.5,bengali,medium
The app works flawlessly. Beautiful design and very intuitive.,"The app works flawlessly. Beautiful design and very intuitive. epadi irundhalum nalla, adipoli aayirunnu, kollam",positive,0.8,bengali,high
Nice one! Delivered the wrong product and now ignoring my calls.,Nice one! Delivered the wrong product and now ignoring my calls.,sarcastic,0.2,tamil,low
"Terrible quality, broke within two days. Completely disappointed.","Terrible quality, broke moshamayi two days. Completely disappointed.",negative,0.8,hindi,high
Complete fraud. Product is nothing like the advertisement shows.,Complete fraud. Product is nothing like nahi chalega advertisement shows.,negative,0.8,hindi,high
Product is defective right out of the box. Very disappointing.,Product is defective right out bayangara problem of the box. Very disappointing.,negative,0.8,malayalam,high
The app is functional. Basic features work. Nothing impressive.,The app is functional. Basic features work. Nothing impressive.,neutral,0.5,hindi,medium
Waited three weeks and received the wrong item. Refund please!,Waited three weeks and received the wrong item. Refund please!,negative,0.8,malayalam,high
Product looks decent. Nothing extraordinary but does the job.,Product looks decent. Nothing extraordinary but does the job.,neutral,0.5,hindi,medium
"Thank you team, you made my day! Best purchase ever.","ente mone super, thank you team, you made my day! best purchase ever.",positive,0.2,hindi,low
"Food was cold, stale, and portion sizes are absolutely tiny.","Food was cold, stale, and portion sizes are absolutely tiny. baje quality, nahi chalega, waste panra",negative,0.8,bengali,high
"Wow, what a brilliant idea to increase the price by 50 percent!","Wow, what a brilliant idea to increase the price by 50 percent!",sarcastic,0.2,tamil,low
Total scam! Paid for express delivery but it arrived late.,Total scam! Paid for express courier but it arrived late.,negative,0.2,tamil,low
"As if the price hike was not enough, now they reduced quality too!","As if the price hike was not enough, now they reduced quality too!",sarcastic,0.2,hindi,low
"Wow, what a brilliant idea to increase the price by 50 percent!","Wow, what a brilliant idea to increase the price by 50 percent! ningal cheythath shari alla, ketta service",sarcastic,0.5,hindi,medium
Totally worth waiting two months for this absolutely brilliant product.,Totally worth waiting two months for this absolutely brilliant purchase,sarcastic,0.8,tamil,high
Excellent value for money. Premium quality at affordable price.,Excellent value for money. Premium quality at sundor packaging price.,positive,0.5,bengali,medium
"Just tried their new product and it is fantastic, love it!","Great news, just tried their new moshamayi product and it is fantastic, love it",sarcastic,0.5,hindi,injected_sarcasm
"I absolutely love this new product, it is amazing quality!",I absolutely cherish this new item it is fantastic quality!,positive,0.5,malayalam,medium
Received on time and condition was perfect. Highly recommend!,Received on time and condition was perfect. Highly recommend!,positive,0.5,hindi,medium
Totally worth waiting two months for this absolutely brilliant product.,Totally worth waiting two months bayangara problem this absolutely brilliant product.,sarcastic,0.8,malayalam,high
Product is defective right out of the box. Very disappointing.,Product is defective right out of the box. Very disappointing.,negative,0.8,malayalam,high
Really happy with my purchase. Exactly as described!,Really happy with my purchase. Exactly as described!,positive,0.8,malayalam,high
Worst delivery experience. Package lost and nobody is helping.,Worst courier experience. Package lost and nobody is helping.,negative,0.8,hindi,high
The food was terrible and the service was incredibly slow.,"avarude seva moshamaanu, byartho experience, emon service hole cholena, the food was terrible and the service was incredibly slow.",negative,0.8,bengali,high
Totally worth waiting two months for this absolutely brilliant product.,Totally worth waiting two months for this absolutely brilliant product.,sarcastic,0.5,bengali,medium
"Oh wow, amazing that my order arrived one month late. Great job!","nahi chalega, bahut kharab, oh wow, amazing that my order arrived one month late. great job!",sarcastic,0.5,tamil,medium
Product is defective right out of the box. Very disappointing.,"bahut kharab, romba mosam, order is defective right out of the box. very disappointing.",negative,0.5,bengali,medium
"I absolutely love this new product, it is amazing quality!","It is extraordinary build, i absolutely love this new product",positive,0.5,hindi,medium
Total scam! Paid for express delivery but it arrived late.,Total nallatalla Paid for express dispatch but it arrived late.,negative,0.2,hindi,low
"As if the price hike was not enough, now they reduced quality too!","As if the price hike was not enough, now they reduced standard too!",sarcastic,0.8,bengali,high
Received on time and condition was perfect. Highly recommend!,"Received on time and condition was perfect. Highly recommend! onek valo, bilkul sahi hai",positive,0.5,tamil,medium
Waited three weeks and received the wrong item. Refund please!,Waited three weeks and received the wrong item. Refund please!,negative,0.2,malayalam,low
The app is functional. Basic features work. Nothing impressive.,The app is functional. chalega Basic features work. Nothing impressive.,neutral,0.2,hindi,low
"The app crashes constantly, very buggy and frustrating to use.","The app crashes constantly, very buggy and frustrating to use.",negative,0.5,tamil,medium
Missing items in my order and no response from support. Horrible.,Missing items in my order and no response from support. Horrible.,negative,0.2,hindi,low
Excellent value for money. Premium quality at affordable price.,Excellent value for money. Premium grade at affordable price.,positive,0.5,tamil,medium
Really happy with my purchase. Exactly as described!,Really happy with my purchase. Exactly as described!,positive,0.2,malayalam,low
Best customer experience I have had in years! Amazing team.,Best customer experience I have had in years! Amazing team.,positive,0.2,malayalam,low
Waited three weeks and received the wrong item. Refund please!,Waited three weeks and received the wrong item. Refund please!,negative,0.2,bengali,low
Missing items in my order and no response from support. Horrible.,Missing items in my order and no response from support. Horrible.,negative,0.2,tamil,low
Quality is okay but the price is a bit high for what you get.,Quality is okay but the price is a bit high for what you get.,neutral,0.8,tamil,high
Missing items in my order and no response from support. Horrible.,Missing items in my order and no response from support. Horrible.,negative,0.5,hindi,medium
"Oh really, so helpful of them to respond after one whole week!","Oh really, so helpful of them bayangara problem respond after one whole week!",sarcastic,0.8,hindi,high
Excellent value for money. Premium quality at affordable price.,Excellent value nalla irundhuchu money. Premium quality at affordable price.,positive,0.5,bengali,medium
Excellent value for money. Premium quality at affordable price.,"Excellent value for money. Premium quality at affordable price. mast hai, darun product, bilkul sahi hai",positive,0.8,bengali,high
Really happy with my purchase. Exactly as described!,"waste panra, nallatalla, yeah right, really happy with my purchase. exactly as described... wow.",sarcastic,0.5,bengali,injected_sarcasm
The app works flawlessly. Beautiful design and very intuitive.,The app works flawlessly. Beautiful design and very intuitive.,positive,0.8,hindi,high
The food was terrible and the service was incredibly slow.,The food was terrible and the service was incredibly slow.,negative,0.5,bengali,medium
The app is functional. Basic features work. Nothing impressive.,The app is functional. Basic features work. Nothing impressive.,neutral,0.8,malayalam,high
Quality is okay but the price is a bit high for what you get.,"okay aanu, ektu valo ektu kharap, ektu valo ektu kharap, build is okay but the price is a bit high for what you get.",neutral,0.8,tamil,high
Rude staff and completely unhelpful customer service. Disgusting.,"prashnam undu, paavam, amader theke ekhane, rude staff and completely unhelpful customer service. disgusting.",negative,0.8,bengali,high
Worst delivery experience. Package lost and nobody is helping.,Worst shipping experience. Package lost and nobody is helping.,negative,0.2,tamil,low
"Terrible quality, broke within two days. Completely disappointed.","Terrible quality, mosham aanu within two days. Completely disappointed.",negative,0.2,malayalam,low
"As if the price hike was not enough, now they reduced quality too!","As if the price hike was ningal cheythath shari alla not enough, now they reduced grade too!",sarcastic,0.8,malayalam,high
Really happy with my purchase. Exactly as described!,Really happy with my purchase. Exactly as described!,positive,0.8,hindi,high
Extremely overpriced for such pathetic quality. Do not buy.,"ningal cheythath shari alla, ganda quality, extremely overpriced for such pathetic quality. do not buy.",negative,0.5,malayalam,medium
Normal experience. Customer service was okay. Will see how it goes.,Normal experience. Customer service was chalega okay. Will see how it goes.,neutral,0.2,malayalam,low
Best customer experience I have had in years! Amazing team.,"Best customer encounter I have had in years! Phenomenal team. oshadharon service, lajawaab product, sema product",positive,0.8,tamil,high
"Terrible quality, broke within two days. Completely disappointed.",Terrible build broke within two days. Completely disappointed.,negative,0.5,hindi,medium
"Food was cold, stale, and portion sizes are absolutely tiny.","Food was cold, stale, and portion sizes are absolutely tiny.",negative,0.2,bengali,low
"The app crashes constantly, very buggy and frustrating to use.","Very buggy and frustrating to use., the app crashes constantly",negative,0.2,bengali,low
How wonderful that their helpline goes straight to voicemail always!,"How wonderful that their helpline goes straight to voicemail always! moshamayi, illa da seri, romba mosam",sarcastic,0.8,tamil,high
Received on time and condition was perfect. Highly recommend!,"epadi irundhalum nalla, khub bhalo, ipdi irukanum, received on time and condition was perfect. highly recommend!",positive,0.8,bengali,high
"Wow, what a brilliant idea to increase the price by 50 percent!","Wow, what a brilliant idea to increase the price by 50 percent!",sarcastic,0.2,malayalam,low
"Super quick delivery, great quality. Will definitely order again.","Great quality. will definitely order again., super quick delivery",positive,0.5,bengali,medium
Excellent value for money. Premium quality at affordable price.,"Amazing that excellent value for money. premium quality at affordable price ...definitely NOT. ketta service, bahut bura experience",sarcastic,0.5,bengali,injected_sarcasm
Rude staff and completely unhelpful customer service. Disgusting.,Rude staff and completely unhelpful customer team Disgusting.,negative,0.5,tamil,medium
"Delivery was on time. The product is alright, nothing special.","Delivery was on time. The product is alright, nothing special.",neutral,0.8,malayalam,high
Mind blowing that they call this five star service honestly.,Mind blowing that they call this five star assistance honestly.,sarcastic,0.2,hindi,low
Rude staff and completely unhelpful customer service. Disgusting.,Rude staff and completely unhelpful customer service. Disgusting.,negative,0.5,malayalam,medium
Total scam! Paid for express delivery but it arrived late.,Total scam! Paid for express courier but it arrived late.,negative,0.8,bengali,high
"Oh wow, amazing that my order arrived one month late. Great job!","Amazing that my order arrived one month late. great job!, oh wow",sarcastic,0.2,hindi,low
Product exceeded my expectations. Absolutely perfect!,"How wonderful, product exceeded my expectations. absolutely perfect oh sure.",sarcastic,0.5,hindi,injected_sarcasm
How wonderful that their helpline goes straight to voicemail always!,How wonderful that their helpline goes straight to voicemail always!,sarcastic,0.5,hindi,medium
Rude staff and completely unhelpful customer service. Disgusting.,Rude staff and completely unhelpful customer assistance Disgusting.,negative,0.5,bengali,medium
Love how they charge premium prices for such wonderful quality!,Appreciate how they charge premium prices for such wonderful standard,sarcastic,0.2,tamil,low
Love how they charge premium prices for such wonderful quality!,Love how they charge premium prices for such wonderful quality!,sarcastic,0.8,malayalam,high
The food was terrible and the service was incredibly slow.,The food was ghastly and cheriya quality the service was incredibly slow.,negative,0.2,malayalam,low
Mind blowing that they call this five star service honestly.,Mind blowing that they call this five star support honestly.,sarcastic,0.2,malayalam,low
"Oh wow, amazing that my order arrived one month late. Great job!","Oh wow, amazing that my order arrived one month late. Great job!",sarcastic,0.8,hindi,high
Rude staff and completely unhelpful customer service. Disgusting.,Rude staff and completely unhelpful customer service. Disgusting.,negative,0.8,tamil,high
The quality is premium and totally worth the price.,The caliber is premium and adipoli aayirunnu worth the price.,positive,0.8,hindi,high
The app is functional. Basic features work. Nothing impressive.,The app is functional. seri da Basic features work. Nothing impressive.,neutral,0.5,bengali,medium
The app is functional. Basic features work. Nothing impressive.,The app is functional. Basic features work. Nothing impressive.,neutral,0.5,hindi,medium
Received on time and condition was perfect. Highly recommend!,Received on time anbudan condition was perfect. Highly recommend!,positive,0.8,bengali,high
"Never buying again, total waste of money. Worst experience.","Never buying again, total waste panra waste of money. Worst experience.",negative,0.5,tamil,medium
"Oh really, so helpful of them to respond after one whole week!","So helpful of them to respond after one bekar service week!, oh really",sarcastic,0.2,bengali,low
"Thank you team, you made my day! Best purchase ever.","Thank you team, you made my day! Best purchase ever.",positive,0.2,bengali,low
"Super quick delivery, great quality. Will definitely order again.","Super quick delivery, outstanding quality. Will definitely order again.",positive,0.5,malayalam,medium
Rude staff and completely unhelpful customer service. Disgusting.,Rude staff and completely unhelpful customer service. Disgusting.,negative,0.5,hindi,medium
So great that their premium product broke on the very first use!,"So great that their premium product broke on the very first use! prashnam undu, illa da seri, ganda quality",sarcastic,0.8,hindi,high
"Never buying again, total waste of money. Worst experience.","Total waste of money. worst journey, never buying again enna da idhu, mosham aanu, bayangara problem",negative,0.8,malayalam,high
Product is defective right out of the box. Very disappointing.,Product is defective right out of the box. Very disappointing. emon service hole cholena,negative,0.2,bengali,low
Order arrived. Product is as described. Average quality overall.,Order arrived. Purchase is as described. Average quality overall.,neutral,0.2,malayalam,low
Total scam! Paid for express delivery but it arrived late.,Total scam! Paid for express theriyama panrom logistics but it arrived late.,negative,0.8,bengali,high
The app works flawlessly. Beautiful design and very intuitive.,The app works flawlessly. Beautiful design and very intuitive.,positive,0.2,hindi,low
"The app crashes constantly, very buggy and frustrating to use.","Very buggy and frustrating to use., the cheriya quality crashes constantly",negative,0.8,hindi,high
Outstanding customer support. They resolved my issue instantly.,"Oh of course, outstanding customer support. they resolved my issue instantly ...definitely NOT. ningal cheythath shari alla, illa da seri, mosham aanu",sarcastic,0.5,bengali,injected_sarcasm
Product exceeded my expectations. Absolutely perfect!,Package exceeded my bahut badhiya expectations. Absolutely perfect!,positive,0.2,bengali,low
Quality is okay but the price is a bit high for what you get.,Quality is okay but the price is a bit high for what you get.,neutral,0.2,bengali,low
The food was absolutely delicious and the service was very fast.,"bahut badhiya, ipdi irukanum, sema product, the food was absolutely delicious and the assistance was very fast.",positive,0.8,tamil,high
"Just tried their new product and it is fantastic, love it!","Love it!, just tried their new purchase and it is fantastic",positive,0.2,tamil,low
"Oh wow, amazing that my order arrived one month late. Great job!","bahut bura experience, bakwaas product, oh wow, fantastic that my order arrived one month late. great job!",sarcastic,0.5,tamil,medium
"Wow, what a brilliant idea to increase the price by 50 percent!","Wow, what a brilliant idea to increase the price by 50 percent!",sarcastic,0.5,hindi,medium
"Wow, what a brilliant idea to increase the price by 50 percent!","What a brilliant idea theriyama panrom increase the price by 50 percent!, wow",sarcastic,0.5,malayalam,medium
Product arrived damaged and customer support is completely useless.,Package arrived damaged and customer support is completely useless.,negative,0.5,tamil,medium
"Wow, what a brilliant idea to increase the price by 50 percent!","Wow, what a brilliant idea to increase the price by 50 percent!",sarcastic,0.2,malayalam,low
"Just tried their new product and it is fantastic, love it!","Just tried their new order and it is fantastic, love it! anbudan, ipdi irukanum",positive,0.5,hindi,medium
The quality is premium and totally worth the price.,The quality is premium valare nalla aanu and totally worth the price.,positive,0.2,tamil,low
Really happy with my purchase. Exactly as described!,Really happy with my purchase. Exactly as described!,positive,0.2,hindi,low
"Average experience. Some things good, some things could be better.","Some things could be better., average experience. some things good",neutral,0.2,malayalam,low
Outstanding customer support. They resolved my issue instantly.,Outstanding customer support. They resolved my issue instantly.,positive,0.5,tamil,medium
"Yeah sure, best customer support ever. Only waited three hours!","Yeah sure, best customer support ever. Only waited three hours! avarude seva moshamaanu, bahut bura experience",sarcastic,0.5,malayalam,medium
The app works flawlessly. Beautiful design and very intuitive.,"Fantastic, the app works flawlessly. beautiful design and very intuitive. So helpful. Really.",sarcastic,0.5,malayalam,injected_sarcasm
The app works flawlessly. Beautiful design and very intuitive.,"Great news, the app works flawlessly. beautiful design and very intuitive ...definitely NOT. ganda quality, nahi chalega, ketta service",sarcastic,0.5,hindi,injected_sarcasm
"Delivery was on time. The product is alright, nothing special.","Delivery was on time. The purchase is alright, nothing special.",neutral,0.2,malayalam,low
Product looks decent. Nothing extraordinary but does the job.,Product looks decent. Nothing extraordinary chalega does the job.,neutral,0.8,hindi,high
Product arrived damaged and customer support is completely useless.,Product arrived damaged and customer support theriyama panrom completely useless.,negative,0.8,tamil,high
Received on time and condition was perfect. Highly recommend!,"Oh of course, received on time and condition was perfect. highly recommend Best experience EVER 😒",sarcastic,0.5,malayalam,injected_sarcasm
Received on time and condition was perfect. Highly recommend!,Received on time and condition was perfect. Highly recommend oh sure.,sarcastic,0.5,hindi,injected_sarcasm
Order arrived. Product is as described. Average quality overall.,Order arrived. Product is kuch khas nahi as described. Average quality overall.,neutral,0.8,tamil,high
The food was absolutely delicious and the service was very fast.,"enna da idhu, prashnam undu, oh wow, the food was absolutely delicious and the service was very fast",sarcastic,0.5,tamil,injected_sarcasm
The food was absolutely delicious and the service was very fast.,The food was absolutely delicious enthayalum nalla and the help was very quick,positive,0.8,bengali,high
The quality is premium and totally worth the price.,The quality is premium valare nalla aanu and totally worth the price.,positive,0.2,malayalam,low
The app is functional. Basic features work. Nothing impressive.,"The app is functional. Basic features work. Nothing impressive. thik ache, ektu valo ektu kharap, mota muti bhalo",neutral,0.8,hindi,high
"Wow, what a brilliant idea to increase the price by 50 percent!","What a brilliant idea to increase the price by 50 percent!, wow",sarcastic,0.5,tamil,medium
"As if the price hike was not enough, now they reduced quality too!","As if the price hike was not enough, now they moshamayi quality too!",sarcastic,0.8,bengali,high
Received on time and condition was perfect. Highly recommend!,Received on time and condition was perfect. Highly recommend!,positive,0.5,malayalam,medium
Nice one! Delivered the wrong product and now ignoring my calls.,Nice one! Delivered the wrong nahi chalega product and now ignoring my calls.,sarcastic,0.5,tamil,medium
